lat,log
18.987807,72.836447
28.651952,77.231495
22.562627,88.363044
13.084622,80.248357
12.977063,77.587106
17.384052,78.456355
23.025793,72.587265
22.576882,88.318566
18.513271,73.849852
21.195944,72.830232
26.430066,80.267176
26.884682,75.789336
26.839281,80.923133
21.203096,79.089284
25.615379,85.101027
22.717736,75.85859
22.299405,73.208119
23.254688,77.402892
11.005547,76.966122
30.912042,75.853789
27.187935,78.003944
19.243703,73.135537
17.704052,83.297663
9.947743,76.253802
19.999963,73.776887
28.980018,77.706356
28.411236,77.313162
25.31774,83.005811
28.665353,77.439148
23.683333,86.983333
22.802776,86.185448
9.917347,78.119622
23.174495,79.935903
22.291606,70.793217
23.801988,86.443244
31.622337,74.875335
17.978423,79.600209
25.44478,81.843217
34.085652,74.805553
19.880943,75.346739
21.209188,81.428497
17.671523,75.910437
23.347768,85.338564
26.26841,73.005943
26.176076,91.762932
30.736292,76.788398
26.229825,78.173369
8.485498,76.949238
10.815499,78.696513
15.349955,75.138619
12.292664,76.638543
21.233333,81.633333
11.651165,78.158672
20.272411,85.833853
25.182544,75.839065
25.458872,78.579943
28.347023,79.421934
27.881453,78.07464
19.300229,73.058813
32.735686,74.869112
28.838931,78.776838
12.865371,74.842432
16.695633,74.231669
20.933272,77.75152
30.324427,78.033922
20.569974,74.515415
14.449918,79.986967
26.735389,83.38064
13.932424,75.572555
11.104096,77.346402
22.224964,84.864143
19.160227,77.314971
15.862643,74.508534
16.856777,74.569196
19.950758,79.295229
26.452103,74.638667
20.522922,85.78813
28.017623,73.314955
21.774455,72.152496
29.153938,75.722944
22.080046,82.155431
8.725181,77.684519
16.299737,80.457293
26.710035,88.428512
23.182387,75.776433
14.469237,75.92375
20.709569,76.998103
29.967896,77.545221
17.335827,76.83757
22.866431,88.401129
20.901299,74.777373
24.57951,73.690508
15.142049,76.92398
8.805038,78.151884
15.828865,78.036021
24.796858,85.003852
27.614778,75.138671
13.341358,77.102203
8.881131,76.584694
19.094571,74.738432
25.347071,74.640812
18.673151,78.10008
19.268553,76.770807
25.573987,91.896807
18.399487,76.584252
9.451111,77.556121
25.244462,86.971832
29.470914,77.703324
26.122593,85.390553
27.503501,77.672145
30.336245,76.392199
23.838766,78.738738
19.311514,84.792903
27.874116,79.879327
28.6,77.2
28.894473,76.589166
21.478072,83.990505
23.330331,75.040315
27.150917,78.397808
17.005171,81.777839
23.255716,87.856906
17.913309,77.530105
28.804495,79.040305
16.960361,82.238086
29.387471,76.968246
17.247672,80.143682
23.253972,69.669281
18.436738,79.13222
13.635505,79.419888
15.269537,76.387103
12.545602,76.895078
27.566291,76.610202
23.736701,92.714596
16.827715,75.718988
24.808053,93.944203
26.758236,79.014875
16.205459,77.35567
32.274842,75.652865
15.823849,80.352187
28.994778,77.019375
25.144902,82.565335
28.729845,77.780681
21.641346,69.600868
27.215251,77.492786
11.933812,79.829792
29.691971,76.984483
8.177313,77.43437
10.785233,79.139093
25.775125,73.320611
23.836049,91.279386
15.503565,80.044541
19.798254,85.824938
10.362853,77.975827
22.025278,88.058333
28.403922,77.857731
25.776703,87.473655
14.7502,78.548129
28.460105,77.026352
21.273716,76.117376
16.187466,81.13888
28.793044,76.13968
15.477994,78.483605
21.043649,75.785058
27.598203,81.694709
26.168672,75.786111
29.534893,75.028981
18.11329,83.397743
12.905769,79.137104
9.494647,76.331108
31.104423,77.166623
13.828065,77.491425
34.209004,74.342853
25.894283,80.792104
27.479888,94.90837
27.598784,80.75089
20.85,72.916667
28.038114,79.126677
11.746289,79.764362
31.463218,75.986418
12.869617,79.719469
26.775486,82.150182
24.827327,92.797868
30.360993,76.797819
23.405761,88.490733
13.137679,78.129989
10.959789,79.377472
12.230204,79.072954
28.631245,79.804362
30.144533,74.19552
11.666667,92.75
26.4835,89.522855
27.592698,78.013843
10.325163,76.955299
24.752037,84.374202
25.674673,94.110988
27.325739,88.612155
10.960277,78.076753
26.757509,94.203055
15.498289,73.824541
34.318174,74.457093
26.633333,92.8
27.102349,93.692047
20.414315,72.83236
20.273855,72.996728
20.715115,70.987952
26.135638,91.800688
10.566667,72.616667
11.248016,75.780402
19.331589,79.466051
26.913312,75.787872
23.216667,72.683333
30.691512,76.853736
